"up.or.downregulated","subnetwork","GO.ID","Term","Annotated","Significant","Expected","classicFisher","sig_ids"
"upregulated","whole network","GO:0009617","response to bacterium",491,27,9.42,1.1e-06,"AT1G08720;AT1G20160;AT1G70690;AT1G77920;AT2G33550;AT2G41430;AT2G46440;AT3G16640;AT3G45860;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37980;AT5G01600;AT5G13290;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0009605","response to external stimulus",1248,49,23.93,1.6e-06,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT2G46440;AT3G16640;AT3G16770;AT3G25020;AT3G45860;AT3G51430;AT3G52430;AT4G00050;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G01600;AT5G10600;AT5G12170;AT5G13290;AT5G14940;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G64770;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0014070","response to organic cyclic compound",338,20,6.48,9.5e-06,"AT1G08720;AT1G21250;AT1G22500;AT1G23080;AT1G74660;AT2G14560;AT2G17520;AT3G45860;AT3G51430;AT3G52430;AT4G08920;AT4G14400;AT4G17880;AT4G23130;AT4G23270;AT4G32940;AT4G36780;AT4G37930;AT5G43470;AT5G60600"
"upregulated","whole network","GO:0009751","response to salicylic acid",161,13,3.09,1.4e-05,"AT1G08720;AT1G21250;AT2G14560;AT2G17520;AT3G45860;AT3G51430;AT3G52430;AT4G14400;AT4G23130;AT4G23270;AT4G32940;AT5G43470;AT5G60600"
"upregulated","whole network","GO:0008219","cell death",164,13,3.15,1.8e-05,"AT1G08720;AT2G17520;AT3G16770;AT3G45860;AT3G55830;AT4G08920;AT4G14400;AT4G23130;AT4G37930;AT4G37980;AT5G22290;AT5G43470;AT5G46180"
"upregulated","whole network","GO:0033993","response to lipid",891,36,17.09,2.3e-05,"AT1G08720;AT1G12010;AT1G12480;AT1G20630;AT1G54160;AT1G67030;AT1G74660;AT2G33150;AT2G33590;AT2G43350;AT3G11670;AT3G15510;AT3G16770;AT3G19100;AT3G19290;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT3G58070;AT4G08920;AT4G13510;AT4G31550;AT4G32940;AT4G35770;AT4G36780;AT4G36830;AT5G01820;AT5G08335;AT5G13930;AT5G50720;AT5G54060;AT5G58787;AT5G58940;AT5G61850;AT5G66400"
"upregulated","whole network","GO:0046283","anthocyanin-containing compound metaboli...",47,7,0.9,2.9e-05,"AT3G21560;AT4G08920;AT4G17880;AT4G27830;AT5G13930;AT5G42800;AT5G54060"
"upregulated","whole network","GO:0070887","cellular response to chemical stimulus",1167,43,22.38,3.3e-05,"AT1G08720;AT1G12010;AT1G20630;AT1G23080;AT1G54160;AT1G64710;AT1G67030;AT2G26660;AT2G33150;AT2G33590;AT2G40670;AT2G41430;AT2G43350;AT2G46590;AT3G11670;AT3G16770;AT3G19100;AT3G19290;AT3G49580;AT3G52430;AT4G08920;AT4G10380;AT4G14400;AT4G17880;AT4G27450;AT4G31550;AT4G36780;AT4G36830;AT4G37930;AT5G08335;AT5G16530;AT5G22270;AT5G24655;AT5G43470;AT5G47370;AT5G51890;AT5G54060;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G60600;AT5G61850"
"upregulated","whole network","GO:0051716","cellular response to stimulus",2594,78,49.75,3.4e-05,"AT1G08720;AT1G12010;AT1G16890;AT1G20630;AT1G21250;AT1G23080;AT1G54160;AT1G64710;AT1G67030;AT1G69730;AT1G70660;AT1G71040;AT1G79670;AT1G80420;AT2G17520;AT2G20570;AT2G26660;AT2G33150;AT2G33550;AT2G33590;AT2G33770;AT2G40670;AT2G41430;AT2G43350;AT2G46590;AT2G46790;AT2G47880;AT3G05630;AT3G08860;AT3G11670;AT3G12040;AT3G16770;AT3G19100;AT3G19290;AT3G25020;AT3G44400;AT3G44630;AT3G49580;AT3G52430;AT4G08920;AT4G10380;AT4G13810;AT4G13820;AT4G14400;AT4G16670;AT4G17880;AT4G27450;AT4G30960;AT4G31550;AT4G32160;AT4G36780;AT4G36830;AT4G37930;AT4G37980;AT4G40010;AT5G01820;AT5G08335;AT5G10930;AT5G12200;AT5G16530;AT5G22270;AT5G22290;AT5G24655;AT5G26751;AT5G43470;AT5G45380;AT5G46180;AT5G46490;AT5G47370;AT5G51890;AT5G54060;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G60600;AT5G61420;AT5G61850"
"upregulated","whole network","GO:0042742","defense response to bacterium",410,21,7.86,4.9e-05,"AT1G08720;AT1G20160;AT1G70690;AT1G77920;AT3G16640;AT3G45860;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT5G13290;AT5G59890;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0010039","response to iron ion",23,5,0.44,6.4e-05,"AT1G16890;AT2G40300;AT4G24120;AT4G34600;AT5G01600"
"upregulated","whole network","GO:0031669","cellular response to nutrient levels",164,12,3.15,8e-05,"AT1G20630;AT1G71040;AT2G26660;AT2G33770;AT2G47880;AT3G05630;AT3G08860;AT3G49580;AT4G10380;AT5G12200;AT5G45380;AT5G61420"
"upregulated","whole network","GO:0042440","pigment metabolic process",165,12,3.16,8.5e-05,"AT1G69720;AT2G20570;AT3G19290;AT3G21560;AT4G08920;AT4G17880;AT4G27830;AT5G13930;AT5G42800;AT5G49650;AT5G50920;AT5G54060"
"upregulated","whole network","GO:0043562","cellular response to nitrogen levels",45,6,0.86,0.00021,"AT1G20630;AT2G47880;AT3G05630;AT3G08860;AT5G12200;AT5G45380"
"upregulated","whole network","GO:1901701","cellular response to oxygen-containing c...",608,25,11.66,0.00032,"AT1G08720;AT1G12010;AT1G54160;AT1G64710;AT1G67030;AT2G33150;AT2G43350;AT2G46590;AT3G11670;AT3G19100;AT3G19290;AT3G52430;AT4G08920;AT4G14400;AT4G17880;AT4G31550;AT4G36780;AT4G36830;AT4G37930;AT5G08335;AT5G43470;AT5G54060;AT5G58787;AT5G60600;AT5G61850"
"upregulated","whole network","GO:0009718","anthocyanin-containing compound biosynth...",32,5,0.61,0.00033,"AT3G21560;AT4G17880;AT5G13930;AT5G42800;AT5G54060"
"upregulated","whole network","GO:0009628","response to abiotic stimulus",2214,65,42.46,0.00034,"AT1G08720;AT1G12480;AT1G20630;AT1G22500;AT1G22790;AT1G54160;AT1G74660;AT1G80360;AT2G26660;AT2G29120;AT2G30950;AT2G33590;AT2G34420;AT2G41430;AT2G43350;AT2G46590;AT2G46790;AT3G01470;AT3G09600;AT3G11670;AT3G12360;AT3G14230;AT3G16640;AT3G16770;AT3G19290;AT3G21560;AT3G47600;AT3G48170;AT3G49580;AT3G52430;AT3G61470;AT4G00050;AT4G08920;AT4G13510;AT4G14400;AT4G17250;AT4G27450;AT4G30960;AT4G34100;AT4G34600;AT4G35770;AT4G37930;AT4G38580;AT4G39100;AT4G40010;AT5G01600;AT5G01820;AT5G05270;AT5G13930;AT5G22270;AT5G24655;AT5G26751;AT5G43470;AT5G46180;AT5G46830;AT5G47370;AT5G48500;AT5G50720;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G58940;AT5G64770;AT5G66400"
"upregulated","whole network","GO:0009812","flavonoid metabolic process",90,8,1.73,0.00034,"AT3G21560;AT4G08920;AT4G17880;AT4G27830;AT5G05270;AT5G13930;AT5G42800;AT5G54060"
"upregulated","whole network","GO:0009698","phenylpropanoid metabolic process",122,9,2.34,0.00058,"AT1G80360;AT3G11670;AT3G21560;AT4G34100;AT4G37970;AT4G37980;AT5G03260;AT5G13930;AT5G60020"
"upregulated","whole network","GO:0002239","response to oomycetes",98,8,1.88,6e-04,"AT1G08720;AT3G25020;AT4G02420;AT4G14400;AT4G29050;AT5G12170;AT5G13290;AT5G43470"
"upregulated","whole network","GO:0019748","secondary metabolic process",233,13,4.47,6e-04,"AT1G80360;AT2G22970;AT2G23010;AT2G46590;AT3G11670;AT3G21560;AT3G52430;AT4G34100;AT4G37970;AT4G37980;AT5G03260;AT5G13930;AT5G60020"
"upregulated","whole network","GO:0031667","response to nutrient levels",235,13,4.51,0.00065,"AT1G20630;AT1G22500;AT1G71040;AT2G26660;AT2G33770;AT2G47880;AT3G05630;AT3G08860;AT3G49580;AT4G10380;AT5G12200;AT5G45380;AT5G61420"
"upregulated","whole network","GO:0009415","response to water",394,18,7.56,0.00066,"AT1G08720;AT1G12480;AT1G54160;AT2G33590;AT2G41430;AT2G43350;AT2G46590;AT3G16640;AT3G19290;AT3G47600;AT3G48170;AT4G08920;AT4G30960;AT4G34100;AT5G01820;AT5G50720;AT5G58787;AT5G66400"
"upregulated","whole network","GO:0002229","defense response to oomycetes",78,7,1.5,0.00074,"AT1G08720;AT3G25020;AT4G02420;AT4G14400;AT4G29050;AT5G12170;AT5G13290"
"upregulated","whole network","GO:0010038","response to metal ion",435,19,8.34,0.00081,"AT1G16890;AT1G20630;AT2G32520;AT2G33590;AT2G40300;AT3G07720;AT3G16640;AT3G22460;AT3G56240;AT4G11360;AT4G23670;AT4G24120;AT4G34600;AT4G37930;AT5G01600;AT5G12170;AT5G38990;AT5G39020;AT5G65140"
"upregulated","whole network","GO:1990748","cellular detoxification",39,5,0.75,0.00085,"AT1G20630;AT1G64710;AT3G49580;AT5G24655;AT5G51890"
"upregulated","whole network","GO:0016310","phosphorylation",1119,37,21.46,0.00094,"AT1G08720;AT1G11410;AT1G21250;AT1G34420;AT1G51805;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G79670;AT2G17520;AT2G23200;AT3G19100;AT3G23340;AT3G45860;AT4G02420;AT4G02630;AT4G08920;AT4G23130;AT4G23270;AT4G23310;AT4G29050;AT4G30960;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G13290;AT5G26570;AT5G26751;AT5G38990;AT5G39020;AT5G49650;AT5G58940;AT5G59670;AT5G63710"
"upregulated","whole network","GO:0097237","cellular response to toxic substance",40,5,0.77,0.00096,"AT1G20630;AT1G64710;AT3G49580;AT5G24655;AT5G51890"
"upregulated","whole network","GO:0016054","organic acid catabolic process",158,10,3.03,0.00097,"AT1G03090;AT1G80360;AT2G26350;AT2G33150;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","whole network","GO:0046395","carboxylic acid catabolic process",158,10,3.03,0.00097,"AT1G03090;AT1G80360;AT2G26350;AT2G33150;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","whole network","GO:0001101","response to acid chemical",408,18,7.82,0.00098,"AT1G08720;AT1G12480;AT1G54160;AT2G33590;AT2G41430;AT2G43350;AT2G46590;AT3G16640;AT3G19290;AT3G47600;AT3G48170;AT4G08920;AT4G30960;AT4G34100;AT5G01820;AT5G50720;AT5G58787;AT5G66400"
"upregulated","whole network","GO:1900424","regulation of defense response to bacter...",41,5,0.79,0.00108,"AT1G08720;AT1G20160;AT3G52430;AT4G08920;AT4G14400"
"upregulated","whole network","GO:0009719","response to endogenous stimulus",1349,42,25.87,0.00138,"AT1G08720;AT1G12480;AT1G20630;AT1G23080;AT1G54160;AT1G67030;AT1G74660;AT2G33150;AT2G33590;AT2G40670;AT2G43350;AT3G05630;AT3G11670;AT3G15510;AT3G16770;AT3G19100;AT3G19290;AT3G47600;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT3G58070;AT3G61900;AT4G13510;AT4G31550;AT4G32940;AT4G35770;AT4G36780;AT4G36830;AT5G01820;AT5G08335;AT5G13930;AT5G16530;AT5G22270;AT5G47370;AT5G50720;AT5G54060;AT5G58787;AT5G58940;AT5G61850;AT5G66400"
"upregulated","whole network","GO:0009725","response to hormone",1349,42,25.87,0.00138,"AT1G08720;AT1G12480;AT1G20630;AT1G23080;AT1G54160;AT1G67030;AT1G74660;AT2G33150;AT2G33590;AT2G40670;AT2G43350;AT3G05630;AT3G11670;AT3G15510;AT3G16770;AT3G19100;AT3G19290;AT3G47600;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT3G58070;AT3G61900;AT4G13510;AT4G31550;AT4G32940;AT4G35770;AT4G36780;AT4G36830;AT5G01820;AT5G08335;AT5G13930;AT5G16530;AT5G22270;AT5G47370;AT5G50720;AT5G54060;AT5G58787;AT5G58940;AT5G61850;AT5G66400"
"upregulated","whole network","GO:0006873","intracellular monoatomic ion homeostasis",167,10,3.2,0.00148,"AT1G12480;AT1G47330;AT2G14520;AT2G29120;AT2G40300;AT3G53720;AT3G56240;AT4G08920;AT5G01600;AT5G47560"
"upregulated","whole network","GO:0006796","phosphate-containing compound metabolic ...",1864,54,35.75,0.00151,"AT1G08720;AT1G11410;AT1G21250;AT1G34420;AT1G51805;AT1G55090;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G73600;AT1G79670;AT2G17520;AT2G20630;AT2G23200;AT2G28890;AT2G30720;AT2G32260;AT3G05630;AT3G16050;AT3G17470;AT3G19100;AT3G23340;AT3G45860;AT3G60180;AT4G02420;AT4G02630;AT4G08920;AT4G23130;AT4G23270;AT4G23310;AT4G29050;AT4G30960;AT4G39180;AT4G39800;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G13290;AT5G26570;AT5G26751;AT5G35170;AT5G38990;AT5G39020;AT5G43330;AT5G49650;AT5G49970;AT5G50400;AT5G58940;AT5G59670;AT5G60600;AT5G63710"
"upregulated","whole network","GO:0006793","phosphorus metabolic process",1869,54,35.84,0.0016,"AT1G08720;AT1G11410;AT1G21250;AT1G34420;AT1G51805;AT1G55090;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G73600;AT1G79670;AT2G17520;AT2G20630;AT2G23200;AT2G28890;AT2G30720;AT2G32260;AT3G05630;AT3G16050;AT3G17470;AT3G19100;AT3G23340;AT3G45860;AT3G60180;AT4G02420;AT4G02630;AT4G08920;AT4G23130;AT4G23270;AT4G23310;AT4G29050;AT4G30960;AT4G39180;AT4G39800;AT4G40010;AT5G01820;AT5G02290;AT5G10930;AT5G13290;AT5G26570;AT5G26751;AT5G35170;AT5G38990;AT5G39020;AT5G43330;AT5G49650;AT5G49970;AT5G50400;AT5G58940;AT5G59670;AT5G60600;AT5G63710"
"upregulated","whole network","GO:0044550","secondary metabolite biosynthetic proces...",114,8,2.19,0.00161,"AT3G11670;AT3G52430;AT4G34100;AT4G37970;AT4G37980;AT5G03260;AT5G13930;AT5G60020"
"upregulated","whole network","GO:0012501","programmed cell death",141,9,2.7,0.00163,"AT2G17520;AT3G45860;AT4G08920;AT4G23130;AT4G37930;AT4G37980;AT5G22290;AT5G43470;AT5G46180"
"upregulated","whole network","GO:0098869","cellular oxidant detoxification",27,4,0.52,0.00165,"AT1G20630;AT3G49580;AT5G24655;AT5G51890"
"upregulated","whole network","GO:0072593","reactive oxygen species metabolic proces...",115,8,2.21,0.0017,"AT1G04970;AT1G20630;AT2G30950;AT3G27820;AT3G52430;AT4G08920;AT5G22270;AT5G58580"
